,Cover_Type
519924,1
318451,1
22325,2
449376,2
482753,1
500861,1
229388,2
251059,2
344357,1
110378,2
469761,1
33035,2
575713,3
370810,7
362344,2
563163,2
136950,1
235087,1
224583,2
279481,6
547866,2
415034,1
352092,1
359748,2
215581,2
302356,1
503503,1
455929,1
143228,1
97384,2
432929,1
365352,1
302875,1
82047,1
96131,2
550227,2
205777,1
184782,2
546258,1
502121,1
217186,2
437375,1
479982,2
196301,2
357038,2
233064,7
181835,1
202686,2
308446,2
333953,2
390589,1
489435,2
45089,2
379861,1
446011,2
195810,2
268289,7
204775,1
222592,3
333490,2
1983,5
413275,1
8362,3
91711,1
284787,3
374086,2
61605,2
250788,5
90024,1
51,1
19168,2
519095,1
141164,2
574757,3
382128,1
535745,2
228842,2
542078,2
524233,1
245097,3
122892,2
497629,1
224456,1
364161,7
224850,3
129540,2
119778,2
98493,2
172699,1
153641,2
45931,1
515251,1
435948,1
270505,2
334936,2
279807,1
41800,2
313190,1
566868,2
198880,2
81553,2
470060,1
106639,2
450321,2
12934,4
6280,1
291421,1
86689,1
322616,2
100996,2
177641,1
223270,2
369528,7
468917,1
148567,1
268888,2
371944,1
108730,2
298519,6
473263,2
536333,1
547178,2
233161,2
569413,2
197066,2
332105,2
117502,1
166195,2
365037,6
399614,1
555430,2
351293,1
60982,2
13797,3
80767,2
226141,2
337317,2
289015,2
66345,2
164312,2
108791,2
37122,2
136579,2
25705,2
482187,1
39189,2
405702,1
564804,2
188993,1
155137,2
164567,2
343725,1
198949,1
31820,2
200332,1
322148,1
310254,3
485434,2
229294,2
85306,2
90574,2
496692,2
181678,2
552889,2
78790,2
362676,2
173964,2
160448,1
386870,2
533598,1
257717,2
313344,2
71944,1
114235,2
352846,2
370135,2
5366,3
85621,1
420867,1
318693,2
291287,3
511384,1
553082,2
431619,1
190394,1
343907,2
344812,1
385528,2
278273,3
530329,1
510700,1
446274,1
414120,1
528720,2
28379,2
273253,3
462678,1
427418,2
130462,2
522271,1
339748,2
242932,2
174518,1
140116,2
417936,1
580432,3
261816,1
315149,1
511616,2
534837,1
203904,2
47751,2
412170,1
307992,1
199537,1
94842,2
